"sku","description","title","price","weight(kg)","inactive","sale_price","product_discount","product_type","quantity"
885,"Filled with layers and layers of handstretched Grade A pure mulberry silk floss","Bianca Lorenne - Silk Pillow Standard and Lodge (King) 123 123 test",192,3,0,"NULL","NULL","Physical",10
887,"Swanndri Pure Wool Blankets","Swanndri Pure Wool Blankets",109.95,2,0,"NULL",8,"Physical",10
888,"Fairydown Espresso Feather and Down Blankets","Fairydown Espresso Feather and Down Blankets",219,3.5,0,"NULL","NULL","Physical",10
894,"Fairydown Blissfil Cotton Duvet � 200gsm","Fairydown Blissfil Cotton Duvet Inner",109,4.5,0,"NULL","NULL","Physical",10
895,"Fairydown Bilissfil All Seasons Wool Duvet Inner","Fairydown Blissfil All Seasons Wool Duvet Inner",264,5,0,"NULL","NULL","Physical",10
896,,"Fairydown All Seasons Wool Cot Duvet",89.95,2,0,"NULL","NULL","Physical",10
897,"Fairydown Ultra Warm Wool Duvet Inner 450gsm","Fairydown Ultra Warm Wool Duvet Inner",153.7,5,0,"NULL","NULL","Physical",10
898,"A soft, generously proportioned blanket ","Swanndri Infant Pure Wool Blanket",109.95,2,0,"NULL","NULL","Physical",10
899,"Swanndri Infant Eneveloper � Royal Wool � Thermal Weave Eneveloper","Swanndri Infant Thermalweave Eneveloper",139.95,2,0,"NULL","NULL","Physical",10
900,"Fairydown All Season Wool Cot Underlay","Fairydown All Season Wool Cot Underlay",140,2,1,120,"NULL","Physical",10
901,"The Dreamseeker All Seasons Fitted Wool Underlay� is the ultimate in luxurious sleeping comfort and is reversible for year round use.","Fairydown Dreamseeker All Seasons Fitted Wool Underlay",299,5,0,290,"NULL","Physical",10
903,,"Swanndri Travel Rug 1",110,1.5,0,100,"NULL","Physical",10
904,,"Swanndri Travel Rug 2",110,1.5,0,100,"NULL","Physical",10
906,"Blissfil All Natural Cotton Mattress Protector","Blissfil All Natural Cotton Mattress Protector",100,3,0,"NULL","NULL","Physical",10
907,"Fairydown Natural Cotton Pillow Protector","Fairydown Cotton Pillow Protector.",14,0.3,1,"NULL","NULL","Physical",10
910,"Bianca Lorenne Magnolia White Bedspread / Pillowcase - Sold Separately","Bianca Lorenne Magnolia White Bedspread / Pillowcase - Sold Separately",132,5,0,"NULL","NULL","Physical",10
912,,"Infant Care Rug",89.95,1,0,"NULL","NULL","Physical",10
913,"Thermalweave is a unique yarn which when spun will create tiny air pockets","Swanndri Thermalweave Cot  Blanket",199.95,2,0,"NULL","NULL","Physical",10
914,,"Soft Choice Cot Sheet Sets",18.95,1,0,"NULL","NULL","Physical",10
916,"simply beyond compare for sumptuous comfort and warmth","Novadown - GooseDown and Feather Mattress Topper",649.9,5,1,"NULL","NULL","Physical",10
918,"Novadown 95/5 Hungarian Goose Down Duvet Inner","Novadown 95/5 Hungarian Goose Down Duvet Inner",799,5,1,"NULL","NULL","Physical",10
919,"Hungarian Goose Down 50/50 Quadstyle  Duvet Inner","Hungarian Goose Down 50/50 Duvet Inner",440,3,1,"NULL","NULL","Physical",10
920,"Novadown Hungarian Goose Down 80/20 Duvet Inner","Novadown Hungarian Goose Down 80/20 Duvet Inner",557,4,1,"NULL","NULL","Physical",10
922,"Novadown Hungarian 95/5 Goose Down Pillow","Novadown Hungarian 95/5 Goose Down Pillow",515,3,1,"NULL","NULL","Physical",10
923,"Novadown Hungarian 80% Goose Down Pillow","Novadown Hungarian 80% Goose Down Pillow",485,3,1,"NULL","NULL","Physical",10
924,"Hungarian 50/50 Goose Down Pillow","Hungarian 50/50 Goose Down Pillow",270,1.5,1,"NULL","NULL","Physical",10
