Date,Market,Company Name,Symbol,Price,Volume
2019-01-02,NASDAQ,Apple Inc.,AAPL,39.48,148158800
2019-01-02,NASDAQ,Microsoft Corporation,MSFT,101.12,35329300
2019-01-02,NYSE,Berkshire Hathaway Inc.,BRK,304057,400
2019-01-02,NYSE,Johnson & Johnson,JNJ,127.75,7631700
2019-01-03,NASDAQ,Apple Inc.,AAPL,35.55,365248800
2019-01-03,NASDAQ,Microsoft Corporation,MSFT,97.4,42579100
2019-01-03,NYSE,Berkshire Hathaway Inc.,BRK,287000,700
2019-01-03,NYSE,Johnson & Johnson,JNJ,125.72,8654500
2019-01-04,NASDAQ,Apple Inc.,AAPL,37.06,234428400
2019-01-04,NASDAQ,Microsoft Corporation,MSFT,101.93,44060600
2019-01-04,NYSE,Berkshire Hathaway Inc.,BRK,292500,800
2019-01-04,NYSE,Johnson & Johnson,JNJ,127.83,8831700
2019-01-07,NASDAQ,Apple Inc.,AAPL,36.98,219111200
2019-01-07,NASDAQ,Microsoft Corporation,MSFT,102.06,35656100
2019-01-07,NYSE,Berkshire Hathaway Inc.,BRK,295400,600
2019-01-07,NYSE,Johnson & Johnson,JNJ,127.01,8404700
2019-01-08,NASDAQ,Apple Inc.,AAPL,37.69,164101200
2019-01-08,NASDAQ,Microsoft Corporation,MSFT,102.8,31514400
2019-01-08,NYSE,Berkshire Hathaway Inc.,BRK,294300,300
2019-01-08,NYSE,Johnson & Johnson,JNJ,129.96,9351600
2019-01-09,NASDAQ,Apple Inc.,AAPL,38.33,180396400
2019-01-09,NASDAQ,Microsoft Corporation,MSFT,104.27,32280800
2019-01-09,NYSE,Berkshire Hathaway Inc.,BRK,294560,300
2019-01-09,NYSE,Johnson & Johnson,JNJ,128.93,7403500
2019-01-10,NASDAQ,Apple Inc.,AAPL,38.45,143122800
2019-01-10,NASDAQ,Microsoft Corporation,MSFT,103.6,30067600
2019-01-10,NYSE,Berkshire Hathaway Inc.,BRK,295160,300
2019-01-10,NYSE,Johnson & Johnson,JNJ,129.71,6224400
2019-01-11,NASDAQ,Apple Inc.,AAPL,38.07,108092800
2019-01-11,NASDAQ,Microsoft Corporation,MSFT,102.8,28314200
2019-01-11,NYSE,Berkshire Hathaway Inc.,BRK,293980,500
2019-01-11,NYSE,Johnson & Johnson,JNJ,129.75,5300400
2019-01-14,NASDAQ,Apple Inc.,AAPL,37.5,129756800
2019-01-14,NASDAQ,Microsoft Corporation,MSFT,102.05,28437100
2019-01-14,NYSE,Berkshire Hathaway Inc.,BRK,292371,500
2019-01-14,NYSE,Johnson & Johnson,JNJ,128.28,7374400
2019-01-15,NASDAQ,Apple Inc.,AAPL,38.27,114843600
2019-01-15,NASDAQ,Microsoft Corporation,MSFT,105.01,31587600
2019-01-15,NYSE,Berkshire Hathaway Inc.,BRK,295000,500
2019-01-15,NYSE,Johnson & Johnson,JNJ,129.36,5194400
2019-01-16,NASDAQ,Apple Inc.,AAPL,38.74,122278800
2019-01-16,NASDAQ,Microsoft Corporation,MSFT,105.38,29853900
2019-01-16,NYSE,Berkshire Hathaway Inc.,BRK,295811,700
2019-01-16,NYSE,Johnson & Johnson,JNJ,128.04,6264200
2019-01-17,NASDAQ,Apple Inc.,AAPL,38.97,119284800
2019-01-17,NASDAQ,Microsoft Corporation,MSFT,106.12,28393000
2019-01-17,NYSE,Berkshire Hathaway Inc.,BRK,297547,200
2019-01-17,NYSE,Johnson & Johnson,JNJ,129.09,7632000
2019-01-18,NASDAQ,Apple Inc.,AAPL,39.21,135004000
2019-01-18,NASDAQ,Microsoft Corporation,MSFT,107.71,37427600
2019-01-18,NYSE,Berkshire Hathaway Inc.,BRK,306500,400
2019-01-18,NYSE,Johnson & Johnson,JNJ,130.69,10593000
2019-01-22,NASDAQ,Apple Inc.,AAPL,38.33,121576000
2019-01-22,NASDAQ,Microsoft Corporation,MSFT,105.68,32371300
2019-01-22,NYSE,Berkshire Hathaway Inc.,BRK,300531,300
2019-01-22,NYSE,Johnson & Johnson,JNJ,128.8,10568100
2019-01-23,NASDAQ,Apple Inc.,AAPL,38.48,92522400
2019-01-23,NASDAQ,Microsoft Corporation,MSFT,106.71,25874300
2019-01-23,NYSE,Berkshire Hathaway Inc.,BRK,301835,200
2019-01-23,NYSE,Johnson & Johnson,JNJ,128.8,9267800
2019-01-24,NASDAQ,Apple Inc.,AAPL,38.17,101766000
2019-01-24,NASDAQ,Microsoft Corporation,MSFT,106.2,23164800
2019-01-24,NYSE,Berkshire Hathaway Inc.,BRK,301680,200
2019-01-24,NYSE,Johnson & Johnson,JNJ,127.03,9917000
2019-01-25,NASDAQ,Apple Inc.,AAPL,39.44,134142000
2019-01-25,NASDAQ,Microsoft Corporation,MSFT,107.17,31225600
2019-01-25,NYSE,Berkshire Hathaway Inc.,BRK,303531,200
2019-01-25,NYSE,Johnson & Johnson,JNJ,128.23,7585100
2019-01-28,NASDAQ,Apple Inc.,AAPL,39.08,104768400
2019-01-28,NASDAQ,Microsoft Corporation,MSFT,105.08,29476700
2019-01-28,NYSE,Berkshire Hathaway Inc.,BRK,301000,400
2019-01-28,NYSE,Johnson & Johnson,JNJ,128.99,6927700
2019-01-29,NASDAQ,Apple Inc.,AAPL,38.67,166348800
2019-01-29,NASDAQ,Microsoft Corporation,MSFT,102.94,31490500
2019-01-29,NYSE,Berkshire Hathaway Inc.,BRK,303000,200
2019-01-29,NYSE,Johnson & Johnson,JNJ,130.33,6669300
2019-01-30,NASDAQ,Apple Inc.,AAPL,41.31,244439200
2019-01-30,NASDAQ,Microsoft Corporation,MSFT,106.38,49471900
2019-01-30,NYSE,Berkshire Hathaway Inc.,BRK,309180,300
2019-01-30,NYSE,Johnson & Johnson,JNJ,131.64,7299300
2019-01-31,NASDAQ,Apple Inc.,AAPL,41.61,162958400
2019-01-31,NASDAQ,Microsoft Corporation,MSFT,104.43,55636400
2019-01-31,NYSE,Berkshire Hathaway Inc.,BRK,311500,500
2019-01-31,NYSE,Johnson & Johnson,JNJ,133.08,17298100
2019-02-01,NASDAQ,Apple Inc.,AAPL,41.63,130672400
2019-02-01,NASDAQ,Microsoft Corporation,MSFT,102.78,35535700
2019-02-01,NYSE,Berkshire Hathaway Inc.,BRK,313875,400
2019-02-01,NYSE,Johnson & Johnson,JNJ,134.2,9575200
2019-02-04,NASDAQ,Apple Inc.,AAPL,42.81,125982000
2019-02-04,NASDAQ,Microsoft Corporation,MSFT,105.74,31315100
2019-02-04,NYSE,Berkshire Hathaway Inc.,BRK,312000,300
2019-02-04,NYSE,Johnson & Johnson,JNJ,132.88,7759000
2019-02-05,NASDAQ,Apple Inc.,AAPL,43.54,144406400
2019-02-05,NASDAQ,Microsoft Corporation,MSFT,107.22,27325400
2019-02-05,NYSE,Berkshire Hathaway Inc.,BRK,310700,400
2019-02-05,NYSE,Johnson & Johnson,JNJ,132.88,6449800
2019-02-06,NASDAQ,Apple Inc.,AAPL,43.56,112958400
2019-02-06,NASDAQ,Microsoft Corporation,MSFT,106.03,20609800
2019-02-06,NYSE,Berkshire Hathaway Inc.,BRK,308810,100
2019-02-06,NYSE,Johnson & Johnson,JNJ,133,5066100
2019-02-07,NASDAQ,Apple Inc.,AAPL,42.74,126966800
2019-02-07,NASDAQ,Microsoft Corporation,MSFT,105.27,29760700
2019-02-07,NYSE,Berkshire Hathaway Inc.,BRK,302813,200
2019-02-07,NYSE,Johnson & Johnson,JNJ,132.05,6085300
2019-02-08,NASDAQ,Apple Inc.,AAPL,42.6,95280000
2019-02-08,NASDAQ,Microsoft Corporation,MSFT,105.67,21461100
2019-02-08,NYSE,Berkshire Hathaway Inc.,BRK,300771,200
2019-02-08,NYSE,Johnson & Johnson,JNJ,132.4,4436700
2019-02-11,NASDAQ,Apple Inc.,AAPL,42.36,83973600
2019-02-11,NASDAQ,Microsoft Corporation,MSFT,105.25,18914100
2019-02-11,NYSE,Berkshire Hathaway Inc.,BRK,304884,200
2019-02-11,NYSE,Johnson & Johnson,JNJ,132,4962200
2019-02-12,NASDAQ,Apple Inc.,AAPL,42.72,89134000
2019-02-12,NASDAQ,Microsoft Corporation,MSFT,106.89,25056600
2019-02-12,NYSE,Berkshire Hathaway Inc.,BRK,309260,200
2019-02-12,NYSE,Johnson & Johnson,JNJ,134.16,6262300
2019-02-13,NASDAQ,Apple Inc.,AAPL,42.54,89960800
2019-02-13,NASDAQ,Microsoft Corporation,MSFT,106.81,18394900
2019-02-13,NYSE,Berkshire Hathaway Inc.,BRK,308320,400
2019-02-13,NYSE,Johnson & Johnson,JNJ,134.45,7902200
2019-02-14,NASDAQ,Apple Inc.,AAPL,42.7,87342800
2019-02-14,NASDAQ,Microsoft Corporation,MSFT,106.9,21784700
2019-02-14,NYSE,Berkshire Hathaway Inc.,BRK,303890,200
2019-02-14,NYSE,Johnson & Johnson,JNJ,134.31,3910400
2019-02-15,NASDAQ,Apple Inc.,AAPL,42.61,98507200
2019-02-15,NASDAQ,Microsoft Corporation,MSFT,108.22,26606900
2019-02-15,NYSE,Berkshire Hathaway Inc.,BRK,308139,200
2019-02-15,NYSE,Johnson & Johnson,JNJ,136.38,6665000
2019-02-19,NASDAQ,Apple Inc.,AAPL,42.73,75891200
2019-02-19,NASDAQ,Microsoft Corporation,MSFT,108.17,18038500
2019-02-19,NYSE,Berkshire Hathaway Inc.,BRK,307315,200
2019-02-19,NYSE,Johnson & Johnson,JNJ,135.69,5935500
2019-02-20,NASDAQ,Apple Inc.,AAPL,43.01,104457600
2019-02-20,NASDAQ,Microsoft Corporation,MSFT,107.15,21607700
2019-02-20,NYSE,Berkshire Hathaway Inc.,BRK,309500,100
2019-02-20,NYSE,Johnson & Johnson,JNJ,136.35,6089800
2019-02-21,NASDAQ,Apple Inc.,AAPL,42.76,68998800
2019-02-21,NASDAQ,Microsoft Corporation,MSFT,109.41,29063200
2019-02-21,NYSE,Berkshire Hathaway Inc.,BRK,307925,200
2019-02-21,NYSE,Johnson & Johnson,JNJ,135.42,6665500
2019-02-22,NASDAQ,Apple Inc.,AAPL,43.24,75652800
2019-02-22,NASDAQ,Microsoft Corporation,MSFT,110.97,27763200
2019-02-22,NYSE,Berkshire Hathaway Inc.,BRK,302000,400
2019-02-22,NYSE,Johnson & Johnson,JNJ,136.6,5223900
2019-02-25,NASDAQ,Apple Inc.,AAPL,43.56,87493600
2019-02-25,NASDAQ,Microsoft Corporation,MSFT,111.59,23750600
2019-02-25,NYSE,Berkshire Hathaway Inc.,BRK,303300,300
2019-02-25,NYSE,Johnson & Johnson,JNJ,136.2,6846600
